component_code,component_name,file_path,line,text_type,translation_key,english,kiswahili,translated
CRM-0010,Check-in / Check-out,src/components/dashboard/CheckInOutDialog.tsx,244,label,,Status,,no
CRM-0010,Check-in / Check-out,src/components/dashboard/CheckInOutDialog.tsx,258,label,,Upload Selfie,,no
CRM-0010,Check-in / Check-out,src/components/dashboard/CheckInOutDialog.tsx,94,error,,User not authenticated,,no
CRM-0062,Check-in Thumbnail,src/components/supervisor/CheckInThumbnail.tsx,22,label,,Active,,no
CRM-0062,Check-in Thumbnail,src/components/supervisor/CheckInThumbnail.tsx,23,label,,Break,,no
CRM-0062,Check-in Thumbnail,src/components/supervisor/CheckInThumbnail.tsx,0,component_name,,Check-in Thumbnail,,no
CRM-0062,Check-in Thumbnail,src/components/supervisor/CheckInThumbnail.tsx,24,label,,Out,,no
CRM-0062,Check-in Thumbnail,src/components/supervisor/CheckInThumbnail.tsx,0,component_description,,Thumbnail preview of an agent check-in photo.,,no
CRM-0062,Check-in Thumbnail,src/components/supervisor/CheckInThumbnail.tsx,74,label,,View Details,,no
CRM-0020,Closing Report,src/components/attendance/InstoreClosingReportDialog.tsx,237,label,,Close,,no
CRM-0020,Closing Report,src/components/attendance/InstoreClosingReportDialog.tsx,0,component_name,,Closing Report,,no
CRM-0020,Closing Report,src/components/attendance/InstoreClosingReportDialog.tsx,216,label,,Closing Report,,no
CRM-0020,Closing Report,src/components/attendance/InstoreClosingReportDialog.tsx,108,toast_title,,Error,,no
CRM-0020,Closing Report,src/components/attendance/InstoreClosingReportDialog.tsx,109,toast_description,,Failed to load products,,no
CRM-0020,Closing Report,src/components/attendance/InstoreClosingReportDialog.tsx,202,toast_description,,Failed to submit closing report,,no
CRM-0020,Closing Report,src/components/attendance/InstoreClosingReportDialog.tsx,0,component_description,,In-store closing report capturing day totals and notes.,,no
CRM-0020,Closing Report,src/components/attendance/InstoreClosingReportDialog.tsx,250,label,,No products assigned,,no
CRM-0020,Closing Report,src/components/attendance/InstoreClosingReportDialog.tsx,229,label,,Open,,no
CRM-0020,Closing Report,src/components/attendance/InstoreClosingReportDialog.tsx,149,toast_description,,Please fill in at least one product's data,,no
CRM-0020,Closing Report,src/components/attendance/InstoreClosingReportDialog.tsx,233,label,,Sales,,no
CRM-0020,Closing Report,src/components/attendance/InstoreClosingReportDialog.tsx,136,toast_description,,You must be logged in to submit a report,,no
CRM-0089,Dashboard,src/components/onboarding/TourOverlay.tsx,18,title,,Dashboard,,no
CRM-0089,Dashboard,src/components/onboarding/TourOverlay.tsx,34,description,,Head back and check in to start your day.,,no
CRM-0089,Dashboard,src/components/onboarding/TourOverlay.tsx,28,title,,Help & FAQ,,no
CRM-0089,Dashboard,src/components/onboarding/TourOverlay.tsx,24,description,,Log customer feedback and competitor activity here.,,no
CRM-0089,Dashboard,src/components/onboarding/TourOverlay.tsx,23,title,,Reports,,no
CRM-0089,Dashboard,src/components/onboarding/TourOverlay.tsx,29,description,,Tap the help icon on your Profile page for guides and FAQs about your team.,,no
CRM-0089,Dashboard,src/components/onboarding/TourOverlay.tsx,19,description,,This is your home base. Check in by taking a selfie and track your work hours here.,,no
CRM-0089,Dashboard,src/components/onboarding/TourOverlay.tsx,33,title,,You're all set! 🎉,,no
CRM-0089,Dashboard,src/pages/Dashboard.tsx,0,component_description,,"Agent home with KPIs, schedule and quick actions.",,no
CRM-0089,Dashboard,src/pages/Dashboard.tsx,0,component_name,,Dashboard,,no
CRM-0030,Engagement,src/components/EngagementModal.tsx,99,placeholder,,Add details about the interaction...,,no
CRM-0030,Engagement,src/components/EngagementModal.tsx,107,label,,Customer Sentiment,,no
CRM-0030,Engagement,src/components/EngagementModal.tsx,0,component_name,,Engagement,,no
CRM-0030,Engagement,src/components/EngagementModal.tsx,80,label,,Engagement Type,,no
CRM-0030,Engagement,src/components/EngagementModal.tsx,96,label,,Interaction Notes,,no
CRM-0030,Engagement,src/components/EngagementModal.tsx,75,label,,Log Engagement,,no
CRM-0030,Engagement,src/components/EngagementModal.tsx,0,component_description,,"Quick customer engagement capture (demo, taste, pitch).",,no
CRM-0030,Engagement,src/components/EngagementModal.tsx,83,placeholder,,Select engagement type,,no
CRM-0019,Evening Report,src/components/attendance/EveningReportDialog.tsx,0,component_description,,End-of-day summary submitted by the agent.,,no
CRM-0019,Evening Report,src/components/attendance/EveningReportDialog.tsx,29,toast_title,,Error,,no
CRM-0019,Evening Report,src/components/attendance/EveningReportDialog.tsx,0,component_name,,Evening Report,,no
CRM-0019,Evening Report,src/components/attendance/EveningReportDialog.tsx,50,label,,Evening Report,,no
CRM-0019,Evening Report,src/components/attendance/EveningReportDialog.tsx,39,toast_description,,Evening report submitted successfully,,no
CRM-0019,Evening Report,src/components/attendance/EveningReportDialog.tsx,51,label,,Submit your evening report to complete your day,,no
CRM-0019,Evening Report,src/components/attendance/EveningReportDialog.tsx,38,toast_title,,Success,,no
CRM-0019,Evening Report,src/components/attendance/EveningReportDialog.tsx,30,toast_description,,You must be logged in to submit a report,,no
CRM-0119,Feedback,src/pages/supervisor/FeedbackPage.tsx,0,component_description,,Customer feedback aggregation across agents.,,no
CRM-0119,Feedback,src/pages/supervisor/FeedbackPage.tsx,19,label,,Customer notes and feedback,,no
CRM-0119,Feedback,src/pages/supervisor/FeedbackPage.tsx,0,component_name,,Feedback,,no
CRM-0119,Feedback,src/pages/supervisor/FeedbackPage.tsx,18,label,,Feedback,,no
CRM-0119,Feedback,src/pages/supervisor/FeedbackPage.tsx,18,heading,,Feedback,,no
CRM-0120,Gallery,src/pages/supervisor/GalleryPage.tsx,19,label,,Agent photos and check-in selfies,,no
CRM-0120,Gallery,src/pages/supervisor/GalleryPage.tsx,0,component_name,,Gallery,,no
CRM-0120,Gallery,src/pages/supervisor/GalleryPage.tsx,18,label,,Gallery,,no
CRM-0120,Gallery,src/pages/supervisor/GalleryPage.tsx,18,heading,,Gallery,,no
CRM-0120,Gallery,src/pages/supervisor/GalleryPage.tsx,0,component_description,,Photo gallery from agent submissions.,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,285,label,,📦,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,408,placeholder,,Add customer feedback...,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,384,label,,Customer Feedback,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,384,heading,,Customer Feedback,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,355,label,,Customer Information,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,355,heading,,Customer Information,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,358,label,,Customer Name *,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,129,toast_title,,Customer Name Required,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,363,placeholder,,Enter customer name,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,372,placeholder,,Enter phone number,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,211,toast_title,,Error,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,212,toast_description,,Failed to save giveaway data.,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,405,label,,Feedback,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,0,component_name,,Give Products,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,237,label,,Give Products,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,237,heading,,Give Products,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,280,label,,Loading inventory...,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,120,toast_title,,No Products Selected,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,171,error,,No workspace selected,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,367,label,,Phone Number,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,130,toast_description,,Please enter the customer's name,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,121,toast_description,,Please select at least one product to give away,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,0,component_description,,Record promotional giveaways or samples handed to customers.,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,248,placeholder,,Search products by name or SKU...,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,260,label,,Selected Products,,no
CRM-0034G,Give Products,src/pages/GiveProducts.tsx,260,heading,,Selected Products,,no
CRM-0095,Give Products Page,src/pages/GiveProducts.tsx,0,component_description,,Full-page giveaway recording flow.,,no
CRM-0095,Give Products Page,src/pages/GiveProducts.tsx,0,component_name,,Give Products Page,,no
CRM-0107,Giveaway Activity List,src/pages/GiveawayActivityList.tsx,0,component_description,,Detailed list of giveaways.,,no
CRM-0107,Giveaway Activity List,src/pages/GiveawayActivityList.tsx,0,component_name,,Giveaway Activity List,,no
CRM-0107,Giveaway Activity List,src/pages/GiveawayActivityList.tsx,92,label,,Loading...,,no
CRM-0107,Giveaway Activity List,src/pages/GiveawayActivityList.tsx,86,label,,My Giveaway Activities,,no
CRM-0107,Giveaway Activity List,src/pages/GiveawayActivityList.tsx,86,heading,,My Giveaway Activities,,no
CRM-0107,Giveaway Activity List,src/pages/GiveawayActivityList.tsx,94,label,,No giveaway activities found,,no
CRM-0107,Giveaway Activity List,src/pages/GiveawayActivityList.tsx,118,label,,Notes,,no
CRM-0107,Giveaway Activity List,src/pages/GiveawayActivityList.tsx,124,label,,Pictures,,no
CRM-0130,Giveaways Tab,src/components/supervisor/MobileGiveawaysTab.tsx,80,label,,Giveaways,,no
CRM-0130,Giveaways Tab,src/components/supervisor/MobileGiveawaysTab.tsx,0,component_name,,Giveaways Tab,,no
CRM-0130,Giveaways Tab,src/components/supervisor/MobileGiveawaysTab.tsx,91,label,,No giveaways recorded,,no
CRM-0130,Giveaways Tab,src/components/supervisor/MobileGiveawaysTab.tsx,157,label,,Quality,,no
CRM-0130,Giveaways Tab,src/components/supervisor/MobileGiveawaysTab.tsx,0,component_description,,Supervisor giveaways tab.,,no
CRM-0130,Giveaways Tab,src/components/supervisor/MobileGiveawaysTab.tsx,151,label,,Total Items,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,106,faq_answer,,"Check your internet connection. Make sure you've given the app camera permissions in your phone settings. Try switching between front and back camera, then switch back.",,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,111,faq_answer,,Close the app completely and reopen it. Clear your browser cache if you're using the web version. Make sure you have a stable internet connection.,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,59,faq_answer,,Go to Routes and use Set Assigned Location to confirm where you're working.,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,64,faq_answer,,Go to the Inventory page to view and track your assigned stock.,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,89,faq_answer,,Go to the Inventory page to view your assigned stock and log distributions.,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,116,faq_answer,,"Go to the Profile tab. You can see Today's metrics, This Week's summary, and your Report tab for work hours and activity details.",,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,48,faq_answer,,Go to the Reports page to log customer feedback and competitor activity throughout your shift.,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,53,faq_answer,,Go to the Routes page and use the Add Location form to register stores you visit.,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,78,faq_answer,,"Go to the Routes page and use the Add Location form. After adding a store, you'll be asked to complete a Stock Report.",,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,169,label,,Help & FAQ,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,53,faq_question,,How do I add stores?,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,52,faq_question,,How do I check in?,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,68,faq_question,,How do I complete surveys?,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,83,faq_question,,How do I log interactions?,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,64,faq_question,,How do I manage inventory?,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,63,faq_question,,How do I record a sale?,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,46,faq_question,,How do I record attendance?,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,88,faq_question,,How do I record engagements?,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,59,faq_question,,How do I set my assigned location?,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,47,faq_question,,How do I set my location?,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,48,faq_question,,How do I submit reports?,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,49,faq_question,,How do I track my work hours?,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,115,faq_question,,How do I view my stats?,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,95,faq_question,,How to install?,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,105,faq_question,,My selfie won't upload — what do I do?,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,96,faq_answer,,"Open this link: trakkit-mobile.lovable.app in Google Chrome. Wait for the install pop up to appear. Press the Install button. Once complete, TraKKiT will appear on your home screen.",,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,58,faq_answer,,Quick Actions on the Dashboard let you log sales and giveaways quickly.,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,52,faq_answer,,"Tap Record Attendance on the Dashboard, allow location access, and take a selfie.",,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,57,faq_answer,,Tap Record Attendance on the Dashboard. Allow location access and take a selfie.,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,46,faq_answer,,Tap the Record Attendance button on the Dashboard. Allow location access when prompted and take a selfie to confirm you've arrived at the store.,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,101,faq_answer,,Tap the Record Attendance button on the Dashboard. Allow location access when prompted and take a selfie. Make sure you are within range of your assigned location and that GPS is turned on.,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,110,faq_question,,The app feels slow or is stuck,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,88,faq_answer,,Use Quick Actions on the Dashboard to log sales and giveaways.,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,83,faq_answer,,Use the Log Interaction page to record each door-to-door visit.,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,63,faq_answer,,Use the Record Sale option from Quick Actions on the Dashboard.,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,47,faq_answer,,Use the Set Location button on the Dashboard to select which store you're working at today.,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,68,faq_answer,,Use the Surveys page to fill out assigned survey forms for each interaction.,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,58,faq_question,,What are Quick Actions?,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,74,faq_answer,,Your hours are tracked automatically between check-in and check-out.,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,54,faq_answer,,Your hours are tracked automatically between check-in and check-out. View them on the Dashboard Work Hours card.,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,69,faq_answer,,Your hours are tracked automatically between check-in and check-out. View them on the Dashboard.,,no
CRM-0109,Help & Support,src/components/profile/HelpFAQDialog.tsx,49,faq_answer,,Your work hours are automatically tracked from when you check in to when you check out. View the Work Hours card on the Dashboard.,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,27,title,,Call Support,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,44,description,,Chat with our support team in real-time,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,52,description,,Create a detailed support request,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,35,title,,Email Support,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,185,label,,Emergency Contact,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,185,heading,,Emergency Contact,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,93,label,,Get assistance when you need it,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,0,component_name,,Help & Support,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,90,label,,Help & Support,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,90,heading,,Help & Support,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,0,component_description,,Help articles and contact options.,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,139,label,,Help Center,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,139,heading,,Help Center,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,125,label,,Help us improve the app,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,61,title,,How to record a sale,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,43,title,,Live Chat,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,73,title,,Managing offline data,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,15,toast_title,,Opening Support,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,162,label,,Popular Help Topics,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,162,heading,,Popular Help Topics,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,124,label,,Report a Bug,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,124,heading,,Report a Bug,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,36,description,,Send us an email and we'll respond within 24 hours,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,28,description,,Speak directly with our support team,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,51,title,,Submit a Ticket,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,65,title,,Troubleshooting recording issues,,no
CRM-0109,Help & Support,src/pages/HelpSupport.tsx,69,title,,Understanding point system,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,310,label,,Agent support tickets,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,543,alt,,Attachment,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,609,label,,Attachment,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,62,label,,Bug Support,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,415,label,,Cancel,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,416,label,,Delete,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,411,label,,Delete this message?,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,638,label,,Delete this ticket?,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,281,toast_title,,Failed to delete,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,250,toast_title,,Failed to send,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,590,label,,From,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,191,toast_title,,Geolocation not supported,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,0,component_name,,Inbox,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,309,label,,Inbox,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,309,heading,,Inbox,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,63,label,,Inventory,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,599,label,,Issue Type,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,333,label,,Loading...,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,205,toast_title,,Location error,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,604,label,,Message,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,299,toast_title,,Message deleted,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,241,toast_title,,Message sent,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,64,label,,Missing Stats,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,490,label,,No agents found,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,390,label,,No sent messages yet,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,337,label,,No tickets found,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,424,label,,Read,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,482,placeholder,,Search agents...,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,321,placeholder,,"Search tickets by agent, type, or content...",,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,382,label,,Sent Messages,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,382,heading,,Sent Messages,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,614,label,,Status,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,594,label,,Submitted,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,0,component_description,,Supervisor inbox and messages.,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,412,label,,This will remove the message from your sent view.,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,639,label,,This will remove the ticket from the inbox.,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,610,alt,,Ticket attachment,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,285,toast_title,,Ticket deleted,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,461,label,,To,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,515,placeholder,,Type your message...,,no
CRM-0126,Inbox,src/pages/supervisor/InboxPage.tsx,426,label,,Unread,,no
CRM-0105,Interaction History,src/pages/InteractionHistory.tsx,149,label,,All recorded interactions in Capwell,,no
CRM-0105,Interaction History,src/pages/InteractionHistory.tsx,134,toast_title,,Error,,no
CRM-0105,Interaction History,src/pages/InteractionHistory.tsx,135,toast_description,,Failed to load interaction history,,no
CRM-0105,Interaction History,src/pages/InteractionHistory.tsx,0,component_name,,Interaction History,,no
CRM-0105,Interaction History,src/pages/InteractionHistory.tsx,148,label,,Interaction History,,no
CRM-0105,Interaction History,src/pages/InteractionHistory.tsx,148,heading,,Interaction History,,no
CRM-0105,Interaction History,src/pages/InteractionHistory.tsx,197,label,,No interactions have been logged in this workspace,,no
CRM-0105,Interaction History,src/pages/InteractionHistory.tsx,196,label,,No interactions yet,,no
CRM-0105,Interaction History,src/pages/InteractionHistory.tsx,196,heading,,No interactions yet,,no
